Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
SLC7A2,3,TRUE,-7.02323819,2.17E-12,1.31E-09
MSL3,2,TRUE,-3.145946515,0.001655502773,0.02973204461
CROT,2,TRUE,3.424877613,0.0006150764292,0.01392889538
ST3GAL1,3,TRUE,-4.68012521,2.87E-06,0.0002062120662
ETV7,2,TRUE,6.357648653,2.05E-10,6.88E-08
TTC27,2,TRUE,-4.48040198,7.45E-06,0.000464879107
CYP24A1,2,TRUE,-3.165429936,0.001548539508,0.02824634241
SERPINB1,3,TRUE,3.522302299,0.0004278160016,0.01044019524
NRXN3,3,TRUE,-4.27976594,1.87E-05,0.0009786660537
NR1H3,2,TRUE,3.724773235,0.0001954908708,0.006056317147
FAS,2,TRUE,9.36196611,7.83E-21,1.98E-17
MIPEP,2,TRUE,-3.464469672,0.0005312780423,0.01234027291
ANK1,2,TRUE,3.127042464,0.001765744217,0.0313061009
IFT88,2,TRUE,3.253118982,0.001141456911,0.02261299379
SPATA7,2,TRUE,3.040948671,0.002358340309,0.03857459752
NOP16,2,TRUE,-4.212198947,2.53E-05,0.001231314881
CC2D2A,3,TRUE,-3.36695959,0.0007600182426,0.01641820978
RRM2B,2,TRUE,6.867166462,6.55E-12,3.60E-09
RRP12,2,TRUE,-3.012153119,0.002594017164,0.04125334583
MRTO4,2,TRUE,-3.609593344,0.0003066774032,0.008147855943
OPN3,3,TRUE,-6.348944953,2.17E-10,7.04E-08
CYFIP2,3,TRUE,7.076475187,1.48E-12,9.85E-10
MCOLN3,2,TRUE,4.085023833,4.41E-05,0.001829216899
HAGH,2,TRUE,4.853898658,1.21E-06,0.000106421415
SPA17,2,TRUE,4.786096123,1.70E-06,0.0001379965985
IPO5,3,TRUE,-3.837333499,0.0001243775091,0.00416727762
NTN1,3,TRUE,4.547341853,5.43E-06,0.0003600704438
ELOVL1,2,TRUE,-3.632842752,0.0002803158584,0.007705145493
FGFR2,4,TRUE,-4.75541636,1.98E-06,0.0001528634765
PFKP,2,TRUE,-4.471874224,7.75E-06,0.0004764763339
HEATR6,2,TRUE,-2.936254713,0.003322014254,0.04970848516
FTSJ1,3,TRUE,-3.019467946,0.002532190862,0.04067893924
HES2,3,TRUE,3.123205784,0.001788926224,0.0316272011
RPS6KA2,2,TRUE,-3.047133113,0.002310353726,0.03802641343
TRIP13,2,TRUE,-4.258270047,2.06E-05,0.001055847676
SLC6A15,4,TRUE,-3.678878533,0.0002342617999,0.006739818465
HMMR,2,TRUE,7.184491466,6.75E-13,5.02E-10
CA12,3,TRUE,-5.127205708,2.94E-07,3.15E-05
ENO1,3,TRUE,-3.263322643,0.001101140817,0.02195171906
GRAMD4,3,TRUE,3.65738972,0.0002547968269,0.007167717848
CACNG4,2,TRUE,-3.190334087,0.001421084108,0.02657238364
UNG,2,TRUE,-3.783207368,0.0001548203229,0.005038227424
SLC25A43,2,TRUE,-3.317112963,0.0009095283442,0.01906244919
SESN1,3,TRUE,3.323712095,0.0008882784817,0.01867936215
MOK,2,TRUE,-4.965919644,6.84E-07,6.61E-05
GEMIN5,2,TRUE,-6.161661392,7.20E-10,1.94E-07
CYLD,3,TRUE,3.479488402,0.0005023721129,0.01179875432
CD82,2,TRUE,3.897883235,9.70E-05,0.003393352741
ORC1,2,TRUE,-3.244295167,0.001177416667,0.02310839935
MGST2,2,TRUE,3.390724234,0.0006970820365,0.01532087328
NOP14,2,TRUE,-3.260036444,0.001113978991,0.02217273592
AURKA,2,TRUE,5.524166621,3.31E-08,5.30E-06
SMOX,2,TRUE,3.220554712,0.001279427687,0.02472713754
BIRC5,2,TRUE,3.070881036,0.002134281685,0.03583943674
ANKRD24,2,TRUE,3.027153323,0.00246868706,0.03993697979
YPEL3,2,TRUE,3.323705678,0.0008882989188,0.01867936215
G2E3,3,TRUE,3.893212217,9.89E-05,0.003449857898
COL9A3,2,TRUE,5.228063672,1.71E-07,2.05E-05
MFSD11,2,TRUE,4.098692519,4.15E-05,0.001747406993
CDC45,4,TRUE,-5.068254149,4.01E-07,4.27E-05
CDC6,3,TRUE,-3.91805062,8.93E-05,0.003201255356
TBC1D2,2,TRUE,-4.023824678,5.73E-05,0.002305026182
IFT74,2,TRUE,4.019822411,5.82E-05,0.002327833484
MMP11,3,TRUE,4.867276144,1.13E-06,0.0001001626819
BIK,2,TRUE,3.203330467,0.001358479973,0.02589909334
TTLL12,2,TRUE,-3.521586118,0.0004289733098,0.01044302525
CHADL,2,TRUE,3.836530154,0.0001247848807,0.004167946714
PYGL,2,TRUE,-6.25154485,4.06E-10,1.22E-07
PXMP4,2,TRUE,3.488694138,0.0004853862066,0.01144227931
PIGU,3,TRUE,-3.220805285,0.001278309656,0.02472713754
RBFA,2,TRUE,-4.843088697,1.28E-06,0.0001108409793
TBL1X,2,TRUE,-3.926589817,8.62E-05,0.003116238104
POLA1,2,TRUE,-6.156314064,7.45E-10,1.96E-07
SMARCA1,2,TRUE,4.723981025,2.31E-06,0.0001753097191
PORCN,2,TRUE,3.090863477,0.001995753725,0.03423339622
DHODH,2,TRUE,-4.519811114,6.19E-06,0.0004018085335
EEF2K,3,TRUE,-3.661287949,0.0002509505187,0.007092320187
MYEF2,2,TRUE,3.866016471,0.0001106274698,0.003767129617
