Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
CDT1,3,TRUE,-3.911706208,9.16E-05,0.0001717180028
RND1,2,TRUE,4.554891944,5.24E-06,1.48E-05
FBXO32,3,TRUE,8.709914399,3.04E-18,9.69E-17
CALML4,3,TRUE,-9.226953414,2.78E-20,1.21E-18
SPATA7,2,TRUE,6.705088903,2.01E-11,1.98E-10
DTNA,3,TRUE,6.826414973,8.71E-12,9.62E-11
POLD1,2,TRUE,-4.06891979,4.72E-05,9.69E-05
CDC42EP2,2,TRUE,-3.826206337,0.0001301332241,0.0002372631005
NUP160,2,TRUE,-5.023212497,5.08E-07,1.96E-06
MC1R,2,TRUE,3.951798433,7.76E-05,0.0001489433444
SEMA3B,2,TRUE,4.900107363,9.58E-07,3.38E-06
RBBP4,2,TRUE,-5.122761611,3.01E-07,1.22E-06
SMC6,2,TRUE,-4.808627685,1.52E-06,5.11E-06
DHCR7,2,TRUE,-8.562414994,1.11E-17,3.15E-16
CX3CL1,2,TRUE,4.390461141,1.13E-05,2.81E-05
ZMAT3,2,TRUE,5.544046909,2.96E-08,1.54E-07
ITGB2,2,TRUE,3.686444513,0.0002274089962,0.000387848729
C12orf48,2,TRUE,-8.264884381,1.40E-16,3.37E-15
LSM14A,2,TRUE,-3.485344135,0.0004915044752,0.0007862619596
HERC6,2,TRUE,7.492850056,6.74E-14,1.09E-12
UNC93B1,2,TRUE,4.293900826,1.76E-05,4.11E-05
RNF138,2,TRUE,-2.899440176,0.003738296751,0.005183835316
RET,2,TRUE,7.22638339,4.96E-13,6.89E-12
MYLIP,2,TRUE,3.950756702,7.79E-05,0.000149328428
RIT1,2,TRUE,4.19599248,2.72E-05,6.08E-05
PPP2R3A,2,TRUE,-6.76985325,1.29E-11,1.33E-10
GPR87,2,TRUE,13.42965782,4.05E-41,1.10E-38
ARSA,2,TRUE,3.800445275,0.0001444363145,0.0002611427856
DNAJC10,2,TRUE,-3.754022765,0.0001740190488,0.0003078101301
MR1,2,TRUE,11.41751443,3.42E-30,3.70E-28
ACTR3,2,TRUE,-6.238240122,4.43E-10,3.20E-09
CCL20,2,TRUE,3.109134991,0.001876359685,0.002731313896
IGSF1,3,TRUE,6.794775284,1.08E-11,1.15E-10
LDHD,2,TRUE,5.357553257,8.44E-08,3.97E-07
STMN1,2,TRUE,-4.933120458,8.09E-07,2.91E-06
MBNL2,2,TRUE,-2.876990142,0.004014881374,0.00553195487
RAD54L,2,TRUE,-5.890450992,3.85E-09,2.36E-08
EBP,2,TRUE,-3.582973862,0.0003397046104,0.0005574243835
