Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
SELM,2,TRUE,3.424138648,0.0006167514598,0.008444801607
FBXO32,4,TRUE,7.543027273,4.59E-14,1.78E-11
CALML4,4,TRUE,-7.990796195,1.34E-15,6.12E-13
SPATA7,3,TRUE,5.474705419,4.38E-08,3.73E-06
POLD1,4,TRUE,-2.877201054,0.004012198717,0.03574326263
CDC42EP2,3,TRUE,-3.124107647,0.001783451968,0.01917811355
SMC6,3,TRUE,-3.926251318,8.63E-05,0.001871353296
DHCR7,3,TRUE,-6.991205821,2.73E-12,7.25E-10
ZMAT3,4,TRUE,3.920273443,8.84E-05,0.001908665983
ANP32C,2,TRUE,-3.27870329,0.001042852209,0.01262790234
RIT1,4,TRUE,2.967055014,0.003006671555,0.02854164968
PPP2R3A,4,TRUE,-4.787049419,1.69E-06,8.35E-05
GPR87,3,TRUE,10.96529295,5.61E-28,1.19E-24
ARSA,3,TRUE,3.103073827,0.001915218565,0.02028765935
CCL20,2,TRUE,3.109134991,0.001876359685,0.01994217552
STMN1,4,TRUE,-3.488283206,0.0004861328702,0.006971845285
RAD54L,3,TRUE,-4.80955635,1.51E-06,7.61E-05
EBP,3,TRUE,-2.925509163,0.003438930488,0.03167435976
PHLDA3,3,TRUE,6.136863621,8.42E-10,1.28E-07
KLF10,4,TRUE,5.886996334,3.93E-09,4.93E-07
RFC5,3,TRUE,-3.341368379,0.0008336653295,0.01069284597
STX3,3,TRUE,6.785559872,1.16E-11,2.64E-09
ISG20,3,TRUE,3.823479981,0.0001315812793,0.002554636541
PPP1R15A,3,TRUE,4.236315072,2.27E-05,0.0006797912264
CSRP2,3,TRUE,-4.745829301,2.08E-06,9.86E-05
GAD1,4,TRUE,3.528192198,0.0004184082391,0.006229796334
C17orf81,2,TRUE,-4.00931289,6.09E-05,0.001440633994
TFDP1,4,TRUE,-4.74112202,2.13E-06,0.0001005619015
MX1,3,TRUE,4.404671458,1.06E-05,0.0003718238099
MCM7,3,TRUE,-4.176626006,2.96E-05,0.0008306975438
DHTKD1,4,TRUE,-4.142063274,3.44E-05,0.000937547036
APOBEC3H,2,TRUE,5.860868103,4.60E-09,5.50E-07
SKP2,4,TRUE,-8.589685416,8.72E-18,5.86E-15
AMFR,4,TRUE,2.844203517,0.004452259971,0.03856109907
ANKRD33,2,TRUE,3.163291923,0.00155995821,0.01726903478
GABARAPL1,4,TRUE,5.205544952,1.93E-07,1.34E-05
SPATA18,4,TRUE,2.792491038,0.005230391639,0.04372922329
PHEX,2,TRUE,4.581743397,4.61E-06,0.0001900242085
SIAE,3,TRUE,6.249657429,4.11E-10,6.82E-08
QPRT,4,TRUE,3.541972845,0.0003971463565,0.00599001736
CHGA,2,TRUE,3.238247188,0.001202665581,0.0142128148
FOS,3,TRUE,3.750624995,0.0001763943452,0.00323769793
PRLR,2,TRUE,3.910961653,9.19E-05,0.001957329467
PPP1R15B,3,TRUE,-4.620201504,3.83E-06,0.0001621695422
SVIL,4,TRUE,6.626134168,3.45E-11,7.22E-09
CHAC2,3,TRUE,-2.818138006,0.004830304345,0.041138092
CSNK1A1L,3,TRUE,-3.989463471,6.62E-05,0.001543791523
SYTL2,3,TRUE,7.220849223,5.17E-13,1.65E-10
MND1,3,TRUE,-2.953729904,0.003139586551,0.02955653515
RHOC,4,TRUE,3.075640513,0.002100509295,0.02174554801
EXO1,3,TRUE,-7.02617938,2.12E-12,5.77E-10
CHAF1B,3,TRUE,-3.368314972,0.0007562914148,0.009899203713
UBE2H,5,TRUE,6.091816824,1.12E-09,1.62E-07
C9orf95,2,TRUE,4.123574672,3.73E-05,0.0009887040277
OASL,3,TRUE,8.146808735,3.74E-16,1.91E-13
ALDH1B1,4,TRUE,-7.4099978,1.26E-13,4.61E-11
LSM6,3,TRUE,-4.564679121,5.00E-06,0.0002035289054
TNFRSF11B,4,TRUE,3.005053137,0.002655344557,0.02597398676
CUEDC1,3,TRUE,4.246531882,2.17E-05,0.0006619367758
DDIT3,3,TRUE,3.754231469,0.0001738741338,0.003209887369
CYFIP2,4,TRUE,9.043715967,1.51E-19,1.38E-16
SIL1,3,TRUE,4.064365807,4.82E-05,0.001197053264
UBD,2,TRUE,3.765219697,0.0001664027051,0.003121819467
MLF1IP,2,TRUE,-3.201747735,0.001365965631,0.01570676052
SIVA1,3,TRUE,-3.248939475,0.001158361223,0.01376564151
TP53I3,3,TRUE,7.224559118,5.03E-13,1.65E-10
C10orf116,2,TRUE,4.901575071,9.51E-07,5.17E-05
PDGFRL,3,TRUE,4.126633842,3.68E-05,0.0009834901586
AGPAT2,4,TRUE,6.381344601,1.76E-10,3.20E-08
MCM2,3,TRUE,-4.216389244,2.48E-05,0.0007290417144
FANCC,3,TRUE,-3.916455247,8.99E-05,0.001932605605
PRICKLE2,3,TRUE,4.508742583,6.52E-06,0.0002571283202
IFIT3,4,TRUE,9.021793673,1.85E-19,1.58E-16
CDCA4,5,TRUE,-5.670948273,1.42E-08,1.43E-06
PDE6A,3,TRUE,3.222228573,0.001271976183,0.01485564042
TOPBP1,3,TRUE,-3.262257717,0.001105286094,0.01324580661
TMEM125,3,TRUE,4.686620071,2.78E-06,0.0001236343552
ZFYVE1,4,TRUE,4.503459615,6.69E-06,0.0002603921906
MRPL47,3,TRUE,-4.288214941,1.80E-05,0.0005752415087
IFI6,3,TRUE,5.051293439,4.39E-07,2.71E-05
TGFB3,3,TRUE,-3.208872713,0.001332564713,0.01548515076
TBC1D4,3,TRUE,-6.524216825,6.84E-11,1.39E-08
DNAJC12,4,TRUE,5.246433204,1.55E-07,1.11E-05
TM7SF2,4,TRUE,5.41419828,6.16E-08,5.01E-06
SYNPO2L,2,TRUE,4.725878553,2.29E-06,0.0001064378448
MRPL11,3,TRUE,-3.833710042,0.0001262249224,0.002488462012
PEX11A,3,TRUE,4.061475363,4.88E-05,0.001209620473
GTF2H2,2,TRUE,-5.818060053,5.95E-09,6.85E-07
LCN2,2,TRUE,3.52538785,0.0004228631837,0.006281485084
CROT,3,TRUE,5.882899299,4.03E-09,4.95E-07
IGSF9,3,TRUE,-4.418801892,9.92E-06,0.0003542793878
PLEKHO1,3,TRUE,-3.896269514,9.77E-05,0.002039108804
PRIM1,3,TRUE,-3.032992956,0.002421412521,0.02433795827
CAMK2B,2,TRUE,5.212933986,1.86E-07,1.30E-05
CCDC99,2,TRUE,-3.685611758,0.0002281539355,0.003904267722
ASF1B,3,TRUE,-3.404163644,0.0006636698061,0.00895288466
CYB5D2,5,TRUE,4.580323891,4.64E-06,0.0001907033922
TCHP,3,TRUE,-3.482340855,0.0004970505685,0.007110661829
RBM39,3,TRUE,-3.717207315,0.0002014371412,0.003589064824
NDRG4,3,TRUE,5.536295337,3.09E-08,2.74E-06
DYNLRB2,2,TRUE,4.989925746,6.04E-07,3.59E-05
C20orf27,2,TRUE,-4.233568953,2.30E-05,0.0006865416781
HLA-DRB5,3,TRUE,3.329681337,0.0008694542788,0.0110851082
FAM54A,2,TRUE,-4.20347188,2.63E-05,0.0007582155773
MATN2,3,TRUE,-3.780804174,0.0001563225997,0.002954173389
NAP1L1,6,TRUE,-4.59472439,4.33E-06,0.0001791483369
MSMB,4,TRUE,4.52521654,6.03E-06,0.0002401130837
TNFRSF10B,4,TRUE,7.397231908,1.39E-13,4.93E-11
IFIT1,4,TRUE,9.669194121,4.08E-22,5.79E-19
TYRP1,3,TRUE,3.692988163,0.0002216343432,0.003815874305
RRAGD,3,TRUE,3.16236978,0.001564907084,0.01730882078
BNIPL,2,TRUE,4.08191312,4.47E-05,0.00113217158
PMS1,3,TRUE,-3.586300711,0.0003354021694,0.005193651775
SAP30,3,TRUE,-4.609367249,4.04E-06,0.0001697294613
ASCL1,2,TRUE,4.420725828,9.84E-06,0.0003533278944
TRIM55,2,TRUE,6.238880009,4.41E-10,7.22E-08
IDUA,3,TRUE,3.266779462,0.001087783845,0.01307284913
CXorf57,2,TRUE,-3.200277334,0.001372954083,0.0157587497
PDSS1,3,TRUE,-4.071939569,4.66E-05,0.001172465282
DYNC1LI1,4,TRUE,-3.306559269,0.0009444936723,0.01172585682
PHGDH,3,TRUE,-3.55314322,0.0003806571615,0.005768559002
TRIM5,4,TRUE,4.708040897,2.50E-06,0.0001141121991
LIG1,3,TRUE,-5.608402072,2.04E-08,1.90E-06
SLC1A5,3,TRUE,-4.774389696,1.80E-06,8.82E-05
EZH2,3,TRUE,-2.979208852,0.002889937248,0.02765497989
EHF,2,TRUE,3.78148121,0.0001558979908,0.002950513825
ACAT2,4,TRUE,-3.684665954,0.0002290027791,0.003911110298
BLM,3,TRUE,-3.939128867,8.18E-05,0.001813739469
RPL41,3,TRUE,-3.866084771,0.0001105965099,0.002255524097
CDC2,2,TRUE,-7.526615876,5.21E-14,1.96E-11
TMEM97,5,TRUE,-4.206640503,2.59E-05,0.0007525490092
YPEL5,3,TRUE,5.82069963,5.86E-09,6.85E-07
AKAP1,3,TRUE,-7.1265586,1.03E-12,3.06E-10
RPS27L,3,TRUE,3.397558694,0.000679900013,0.009094997556
PTGES,2,TRUE,5.604324913,2.09E-08,1.94E-06
TP53INP1,3,TRUE,11.91745679,9.60E-33,3.07E-29
CTSD,3,TRUE,3.293408228,0.0009898064808,0.01221268045
HLA-DRB1,2,TRUE,3.969342751,7.21E-05,0.001658935031
