Symbol,N_Datasets,Consistent_Direction,Combined_P_Fisher
CDKN1A,3,TRUE,2.99E-81
TP53INP1,3,TRUE,1.30E-52
GDF15,4,TRUE,1.96E-50
MDM2,3,TRUE,1.67E-48
GPR87,3,TRUE,2.68E-43
CYFIP2,3,TRUE,4.09E-39
SCD,3,TRUE,1.20E-29
YPEL2,3,TRUE,4.49E-28
BTG2,3,TRUE,1.49E-27
NEU1,3,TRUE,2.33E-27
FDXR,3,TRUE,1.93E-26
ALDH1B1,3,TRUE,8.48E-24
FUCA1,3,TRUE,1.05E-23
TNFRSF10B,3,TRUE,1.70E-23
IFIT1,3,TRUE,9.55E-21
MXD4,3,TRUE,1.77E-20
IFIT2,3,TRUE,2.56E-20
HK2,3,TRUE,3.92E-20
TP53I3,3,TRUE,1.38E-17
ANKRA2,3,TRUE,2.65E-17
KIAA0513,3,TRUE,4.09E-17
PTMA,3,TRUE,8.47E-17
IFIT3,3,TRUE,2.16E-16
AKAP1,3,TRUE,3.67E-16
SKP2,3,TRUE,5.38E-16
ISG15,3,TRUE,6.98E-16
EXO1,3,TRUE,8.24E-16
DHCR7,3,TRUE,9.86E-16
HEATR1,3,TRUE,3.40E-15
SESN1,3,TRUE,3.74E-15
TRIP13,3,TRUE,9.36E-15
STX3,3,TRUE,1.37E-14
DUT,3,TRUE,8.19E-14
XPC,3,TRUE,1.23E-13
TBC1D4,3,TRUE,1.62E-13
FGFR4,3,TRUE,2.55E-13
PIGU,3,TRUE,3.23E-13
ZNF395,3,TRUE,3.89E-13
CYP51A1,3,TRUE,6.66E-13
PARP10,3,TRUE,6.89E-13
PARP9,3,TRUE,9.52E-13
RRM2,4,TRUE,1.03E-12
SIAE,3,TRUE,1.04E-12
TM7SF2,3,TRUE,1.16E-12
ACAD8,3,TRUE,1.52E-12
MTMR4,3,TRUE,1.72E-12
RPL27A,3,TRUE,2.03E-12
CDCA7,4,TRUE,2.40E-12
FBXO32,3,TRUE,3.06E-12
PREX1,3,TRUE,3.41E-12
PHLDA3,3,TRUE,5.10E-12
TSN,3,TRUE,7.73E-12
PIGW,3,TRUE,1.32E-11
CYB5D2,3,TRUE,1.60E-11
GABARAPL1,3,TRUE,1.91E-11
PTGES,3,TRUE,3.14E-11
HERC5,3,TRUE,4.95E-11
PCOLCE2,3,TRUE,5.22E-11
CROT,3,TRUE,5.45E-11
OPTN,3,TRUE,5.58E-11
SLC25A38,3,TRUE,6.24E-11
CALML4,3,TRUE,6.86E-11
RASD1,3,TRUE,7.24E-11
YPEL5,3,TRUE,7.85E-11
INSIG1,3,TRUE,7.90E-11
CCDC24,3,TRUE,9.10E-11
MRPL47,3,TRUE,9.39E-11
PPP2R3A,3,TRUE,1.01E-10
CFB,3,TRUE,1.70E-10
PPIL1,3,TRUE,2.76E-10
UNG,3,TRUE,3.17E-10
CYP1A1,3,TRUE,3.48E-10
SVIL,3,TRUE,4.02E-10
LIG1,3,TRUE,4.97E-10
NDRG4,3,TRUE,5.47E-10
PDGFRL,3,TRUE,5.98E-10
TFDP1,3,TRUE,7.11E-10
POLE,3,TRUE,8.33E-10
BECN1,3,TRUE,8.39E-10
ALDH1A3,3,TRUE,8.92E-10
DHFR,3,TRUE,1.03E-09
WSB2,3,TRUE,1.30E-09
TRIM5,3,TRUE,1.32E-09
SPATA7,3,TRUE,1.40E-09
TMEM97,3,TRUE,1.50E-09
PPP1R15B,3,TRUE,1.61E-09
SPSB2,3,TRUE,2.12E-09
PIGP,3,TRUE,2.27E-09
C19orf33,3,TRUE,2.38E-09
MCM4,3,TRUE,2.47E-09
ABAT,3,TRUE,2.86E-09
CLUAP1,3,TRUE,2.89E-09
MTHFD1,3,TRUE,2.92E-09
LSM6,3,TRUE,3.10E-09
NAP1L1,3,TRUE,3.27E-09
ZFYVE1,3,TRUE,3.36E-09
DHTKD1,3,TRUE,3.38E-09
ANGPTL2,3,TRUE,4.34E-09
TCF19,3,TRUE,4.50E-09
MX1,3,TRUE,4.58E-09
NUDT1,3,TRUE,5.26E-09
HLA-E,3,TRUE,5.88E-09
POLD4,3,TRUE,6.06E-09
CDC25A,4,TRUE,6.10E-09
EPB41L5,3,TRUE,6.40E-09
SERTAD4,3,TRUE,6.45E-09
UBE2H,3,TRUE,7.60E-09
UAP1,3,TRUE,8.17E-09
LRP10,3,TRUE,8.53E-09
GNPNAT1,3,TRUE,9.47E-09
