Symbol,Direction,PValue,Dataset
CDT1,-1,2.67E-06,Discovery
GRHL1,1,1.11E-08,Discovery
CUL5,-1,0.003587182748,Discovery
SELM,1,1.28E-06,Discovery
KDELC2,-1,4.91E-11,Discovery
CTNNB1,-1,4.98E-14,Discovery
BASP1,1,1.33E-06,Discovery
RND1,1,3.06E-09,Discovery
C15orf23,-1,1.31E-06,Discovery
FBXO32,1,3.10E-06,Discovery
CALML4,-1,1.87E-10,Discovery
SPATA7,1,2.20E-07,Discovery
DKFZp434K191,-1,1.42E-10,Discovery
DTNA,1,1.50E-08,Discovery
POLD1,-1,2.54E-08,Discovery
THEX1,-1,1.95E-10,Discovery
CDC42EP2,-1,8.05E-07,Discovery
LOC400451,1,1.74E-08,Discovery
NUP160,-1,1.36E-08,Discovery
TPM4,1,2.91E-10,Discovery
MC1R,1,3.35E-08,Discovery
RAXL1,-1,7.50E-10,Discovery
SPANXA2,1,0.02128694005,Discovery
SEMA3B,1,7.50E-10,Discovery
RBBP4,-1,2.27E-08,Discovery
C14orf80,-1,9.91E-10,Discovery
SMC6,-1,2.48E-05,Discovery
DHCR7,-1,1.31E-07,Discovery
CX3CL1,1,3.12E-06,Discovery
ZMAT3,1,4.62E-09,Discovery
HMGB2,-1,3.02E-06,Discovery
LGALS3BP,1,1.08E-08,Discovery
ITGB2,1,3.37E-06,Discovery
C12orf48,-1,2.09E-09,Discovery
KHDRBS1,-1,6.56E-12,Discovery
CHD1,-1,0.002568140062,Discovery
TIGA1,1,6.60E-11,Discovery
LSM14A,-1,3.00E-05,Discovery
HERC6,1,3.05E-09,Discovery
TMCO3,1,6.98E-09,Discovery
UNC93B1,1,1.12E-08,Discovery
RNF138,-1,6.94E-05,Discovery
RET,1,3.18E-07,Discovery
KIAA1794,-1,3.92E-09,Discovery
COPS2,-1,3.44E-07,Discovery
C1orf41,-1,9.73E-08,Discovery
ANP32C,-1,3.54E-06,Discovery
TMEM159,1,1.76E-05,Discovery
MYLIP,1,1.73E-06,Discovery
METTL7A,-1,7.56E-13,Discovery
RIT1,1,3.79E-07,Discovery
PPP2R3A,-1,1.41E-10,Discovery
GPR87,1,1.20E-09,Discovery
ARSA,1,2.51E-07,Discovery
DNAJC10,-1,1.65E-07,Discovery
MR1,1,3.77E-09,Discovery
ACTR3,-1,1.37E-14,Discovery
CCL20,1,5.86E-05,Discovery
IGSF1,1,3.44E-05,Discovery
SRPK2,1,7.98E-07,Discovery
LDHD,1,1.42E-08,Discovery
SFRS11,-1,1.43E-13,Discovery
STMN1,-1,2.05E-10,Discovery
MBNL2,-1,6.73E-05,Discovery
RAD54L,-1,1.64E-09,Discovery
EBP,-1,7.28E-07,Discovery
CFP,1,4.58E-08,Discovery
RFC3,-1,1.80E-06,Discovery
TP53AP1,1,1.07E-07,Discovery
LOC283537,1,2.29E-08,Discovery
C3orf57,1,7.37E-07,Discovery
NUF2,-1,1.65E-07,Discovery
HIST2H2AA3,1,8.46E-08,Discovery
ROCK2,-1,0.001110002337,Discovery
PHLDA3,1,7.07E-09,Discovery
KLF10,1,1.45E-08,Discovery
FZD6,-1,1.56E-06,Discovery
RFC5,-1,4.11E-08,Discovery
STX3,1,2.76E-09,Discovery
BAG3,1,5.69E-09,Discovery
RAD51,-1,8.43E-07,Discovery
ISG20,1,1.18E-06,Discovery
PPP1R15A,1,1.08E-08,Discovery
C7orf28B,-1,5.70E-13,Discovery
ARRDC4,1,7.00E-07,Discovery
WWOX,-1,1.10E-05,Discovery
RAB31,1,5.61E-06,Discovery
CSRP2,-1,9.36E-10,Discovery
MGC14376,1,9.47E-07,Discovery
GAD1,1,2.40E-07,Discovery
C17orf81,-1,1.43E-08,Discovery
RBM34,-1,6.71E-07,Discovery
IFI27,1,5.29E-11,Discovery
